Date,"Temperature, *C","RH, %","Dew Point, *C"
20-11-21 11:20:10,1.10,26.62,-15.97
20-11-21 11:22:10,2.29,25.47,-15.48
20-11-21 11:24:10,3.32,24.48,-15.07
20-11-21 11:26:10,4.17,22.97,-15.12
20-11-21 11:28:10,4.84,22.59,-14.75
20-11-21 11:30:10,5.34,29.53,-11.03
20-11-21 11:32:10,5.63,22.54,-14.11
20-11-21 11:34:10,5.71,21.84,-14.42
20-11-21 11:36:10,5.76,21.45,-14.61
20-11-21 11:38:10,5.82,21.29,-14.64
20-11-21 11:40:10,5.87,21.28,-14.60
20-11-21 11:42:10,5.93,21.16,-14.63
20-11-21 11:44:10,5.96,21.00,-14.69
20-11-21 11:46:10,6.01,20.86,-14.73
20-11-21 11:48:10,6.05,20.76,-14.76
20-11-21 11:50:10,6.07,20.93,-14.64
20-11-21 11:52:10,6.13,20.88,-14.62
20-11-21 11:54:10,6.15,20.81,-14.64
20-11-21 11:56:10,6.16,20.76,-14.66
20-11-21 11:58:10,6.17,20.68,-14.70
20-11-21 12:00:10,6.19,20.51,-14.79
20-11-21 12:02:10,6.22,20.52,-14.76
20-11-21 12:04:10,6.23,20.65,-14.67
20-11-21 12:06:10,6.28,20.78,-14.55
20-11-21 12:08:10,6.26,20.72,-14.61
20-11-21 12:10:10,6.36,20.83,-14.46
20-11-21 12:12:10,6.34,20.66,-14.58
20-11-21 12:14:10,6.39,20.63,-14.55
20-11-21 12:16:10,6.40,20.39,-14.68
20-11-21 12:18:10,6.45,20.11,-14.80
20-11-21 12:20:10,6.43,19.95,-14.92
20-11-21 12:22:10,6.48,19.78,-14.99
20-11-21 12:24:10,6.48,19.64,-15.07
20-11-21 12:26:10,6.50,19.59,-15.08
20-11-21 12:28:10,6.48,19.53,-15.14
20-11-21 12:30:10,6.50,19.56,-15.10
20-11-21 12:32:10,6.54,19.58,-15.06
20-11-21 12:34:10,6.54,19.55,-15.08
20-11-21 12:36:10,6.57,19.64,-14.99
20-11-21 12:38:10,6.59,19.62,-14.99
20-11-21 12:40:10,6.64,19.47,-15.04
20-11-21 12:42:10,6.65,19.30,-15.14
20-11-21 12:44:10,6.65,19.03,-15.31
20-11-21 12:46:10,6.68,18.92,-15.35
20-11-21 12:48:10,6.67,19.00,-15.31
20-11-21 12:50:10,6.67,19.13,-15.23
20-11-21 12:52:10,6.70,18.96,-15.31
20-11-21 12:54:10,6.70,18.97,-15.30
20-11-21 12:56:10,6.72,18.85,-15.37
20-11-21 12:58:10,6.74,18.77,-15.40
20-11-21 13:00:10,6.74,18.67,-15.46
20-11-21 13:02:10,6.75,18.50,-15.56
20-11-21 13:04:10,6.74,18.39,-15.64
20-11-21 13:06:10,6.74,18.39,-15.65
20-11-21 13:08:10,6.74,18.18,-15.78
20-11-21 13:10:10,6.73,17.96,-15.94
20-11-21 13:12:10,6.71,18.02,-15.91
20-11-21 13:14:10,6.71,17.99,-15.93
20-11-21 13:16:10,6.72,18.20,-15.79
20-11-21 13:18:10,6.73,18.32,-15.70
20-11-21 13:20:10,6.72,18.29,-15.72
20-11-21 13:22:10,6.72,18.39,-15.66
20-11-21 13:24:10,6.76,18.42,-15.60
20-11-21 13:26:10,6.79,18.49,-15.54
20-11-21 13:28:10,6.81,18.28,-15.66
20-11-21 13:30:10,6.83,18.26,-15.65
20-11-21 13:32:10,6.81,18.22,-15.70
20-11-21 13:34:10,6.83,18.28,-15.64
20-11-21 13:36:10,6.85,18.38,-15.56
20-11-21 13:38:10,6.83,18.39,-15.57
20-11-21 13:40:10,6.89,18.39,-15.52
20-11-21 13:42:10,6.86,18.10,-15.74
20-11-21 13:44:10,6.88,18.19,-15.66
20-11-21 13:46:10,6.89,18.32,-15.56
20-11-21 13:48:10,6.93,18.37,-15.51
20-11-21 13:50:10,6.91,18.35,-15.53
20-11-21 13:52:10,6.94,18.12,-15.66
20-11-21 13:54:10,6.94,18.08,-15.68
20-11-21 13:56:10,6.95,18.05,-15.70
20-11-21 13:58:10,6.96,17.96,-15.75
20-11-21 14:00:10,6.93,17.91,-15.81
20-11-21 14:02:10,6.93,17.75,-15.92
20-11-21 14:04:10,6.89,17.68,-15.99
20-11-21 14:06:10,6.90,17.84,-15.87
20-11-21 14:08:10,6.90,17.73,-15.95
20-11-21 14:10:10,6.90,17.86,-15.86
20-11-21 14:12:10,6.88,17.96,-15.81
20-11-21 14:14:10,6.91,17.78,-15.90
20-11-21 14:16:10,6.89,17.64,-16.02
20-11-21 14:18:10,6.90,17.79,-15.90
20-11-21 14:20:10,6.91,17.59,-16.03
20-11-21 14:22:10,6.89,17.52,-16.10
20-11-21 14:24:10,6.88,17.67,-16.01
20-11-21 14:26:10,6.89,17.64,-16.02
20-11-21 14:28:10,6.91,17.59,-16.03
20-11-21 14:30:10,6.87,17.46,-16.16
20-11-21 14:32:10,6.89,17.61,-16.04
20-11-21 14:34:10,6.90,17.53,-16.09
20-11-21 14:36:10,6.89,17.49,-16.12
20-11-21 14:38:10,6.87,17.25,-16.30
20-11-21 14:40:10,6.87,17.24,-16.31
20-11-21 14:42:10,6.84,17.43,-16.21
20-11-21 14:44:10,6.85,17.40,-16.22
20-11-21 14:46:10,6.87,17.67,-16.02
20-11-21 14:48:10,6.87,17.76,-15.95
20-11-21 14:50:10,6.89,17.63,-16.02
20-11-21 14:52:10,6.93,17.78,-15.90
20-11-21 14:54:10,6.91,17.88,-15.84
20-11-21 14:56:10,6.94,17.67,-15.96
20-11-21 14:58:10,6.95,17.64,-15.98
20-11-21 15:00:10,6.93,17.78,-15.89
20-11-21 15:02:10,6.99,17.80,-15.83
20-11-21 15:04:10,7.00,17.82,-15.81
20-11-21 15:06:10,6.98,17.91,-15.76
20-11-21 15:08:10,7.00,17.53,-16.00
20-11-21 15:10:10,7.01,17.50,-16.02
20-11-21 15:12:10,7.02,17.71,-15.87
20-11-21 15:14:10,7.01,17.75,-15.84
